Name,Original Category,Original Category Place,Assigned Category,Assigned Category Place,Competing Categories,Details
HOUSEonFOX,tvshows_drama_hollywood,179,tvshows_drama_hollywood,179,1,"tvshows_drama_hollywood,179"
DrewFromTV,tvshows_drama_hollywood,373,tvshows_drama_hollywood,373,1,"tvshows_drama_hollywood,373"
DavidArchie,tvshows_drama_hollywood,157,tvshows_drama_hollywood,157,1,"tvshows_drama_hollywood,157"
MsAmberPRiley,tvshows_drama_hollywood,177,tvshows_drama_hollywood,177,1,"tvshows_drama_hollywood,177"
pagetpaget,tvshows_drama_hollywood,189,tvshows_drama_hollywood,189,1,"tvshows_drama_hollywood,189"
todayshow,tvshows_drama_hollywood,382,tvshows_drama_hollywood,382,1,"tvshows_drama_hollywood,382"
SnoopDogg,tvshows_drama_hollywood,158,tvshows_drama_hollywood,158,1,"tvshows_drama_hollywood,158"
kaigaidramaneta,tvshows_drama_hollywood,151,tvshows_drama_hollywood,151,1,"tvshows_drama_hollywood,151"
HeyItsNicoleA,tvshows_drama_hollywood,460,tvshows_drama_hollywood,460,1,"tvshows_drama_hollywood,460"
JakeTAustin,tvshows_drama_hollywood,438,tvshows_drama_hollywood,438,1,"tvshows_drama_hollywood,438"
TomCruise,tvshows_drama_hollywood,90,tvshows_drama_hollywood,90,1,"tvshows_drama_hollywood,90"
Oprah,tvshows_drama_hollywood,8,tvshows_drama_hollywood,8,1,"tvshows_drama_hollywood,8"
feliciaday,tvshows_drama_hollywood,59,tvshows_drama_hollywood,59,1,"tvshows_drama_hollywood,59"
EW,tvshows_drama_hollywood,48,tvshows_drama_hollywood,48,1,"tvshows_drama_hollywood,48"
channingtatum,tvshows_drama_hollywood,168,tvshows_drama_hollywood,168,1,"tvshows_drama_hollywood,168"
wowow_movie,tvshows_drama_hollywood,483,tvshows_drama_hollywood,483,1,"tvshows_drama_hollywood,483"
jasonderulo,tvshows_drama_hollywood,403,tvshows_drama_hollywood,403,1,"tvshows_drama_hollywood,403"
SethGreen,tvshows_drama_hollywood,191,tvshows_drama_hollywood,191,1,"tvshows_drama_hollywood,191"
DannyDeVito,tvshows_drama_hollywood,82,tvshows_drama_hollywood,82,1,"tvshows_drama_hollywood,82"
eigacom,tvshows_drama_hollywood,394,tvshows_drama_hollywood,394,1,"tvshows_drama_hollywood,394"
kingsthings,tvshows_drama_hollywood,154,tvshows_drama_hollywood,154,1,"tvshows_drama_hollywood,154"
JayMewes,tvshows_drama_hollywood,488,tvshows_drama_hollywood,488,1,"tvshows_drama_hollywood,488"
chuck_japan,tvshows_drama_hollywood,479,tvshows_drama_hollywood,479,1,"tvshows_drama_hollywood,479"
amber_benson,tvshows_drama_hollywood,443,tvshows_drama_hollywood,443,1,"tvshows_drama_hollywood,443"
Rosie,tvshows_drama_hollywood,418,tvshows_drama_hollywood,418,1,"tvshows_drama_hollywood,418"
hitRECordJoe,tvshows_drama_hollywood,125,tvshows_drama_hollywood,125,1,"tvshows_drama_hollywood,125"
Variety_Film,tvshows_drama_hollywood,369,tvshows_drama_hollywood,369,1,"tvshows_drama_hollywood,369"
joelmchale,tvshows_drama_hollywood,105,tvshows_drama_hollywood,105,1,"tvshows_drama_hollywood,105"
CBSTweet,tvshows_drama_hollywood,280,tvshows_drama_hollywood,280,1,"tvshows_drama_hollywood,280"
lucyyhale,tvshows_drama_hollywood,201,tvshows_drama_hollywood,201,1,"tvshows_drama_hollywood,201"
kathygriffin,tvshows_drama_hollywood,130,tvshows_drama_hollywood,130,1,"tvshows_drama_hollywood,130"
ashleesimpson,tvshows_drama_hollywood,184,tvshows_drama_hollywood,184,1,"tvshows_drama_hollywood,184"
greggrunberg,tvshows_drama_hollywood,217,tvshows_drama_hollywood,217,1,"tvshows_drama_hollywood,217"
NicoleScherzy,tvshows_drama_hollywood,188,tvshows_drama_hollywood,188,1,"tvshows_drama_hollywood,188"
DisneyPixar,tvshows_drama_hollywood,150,tvshows_drama_hollywood,150,1,"tvshows_drama_hollywood,150"
TrueBloodHBO,tvshows_drama_hollywood,104,tvshows_drama_hollywood,104,1,"tvshows_drama_hollywood,104"
