Project,Name,Member_count,FF_Nodes,AT_Nodes,RT_Nodes,FF_bin_density,AT_density,FF_bin_avg_path_length,AT_bin_avg_path_length,FF_bin_clustering,AT_bin_clustering,FF_reciprocity,AT_reciprocity,FF_bin_transitivity,AT_bin_transitivity,RT_density,RT_total_volume
584,politics_news,220652,101,101,101,0.256831683168,0.0246534653465,1.64161616162,0.477644230769,0.665344955137,0.122255351486,0.267220322423,0.0512820512821,0.324567364678,0.0462555066079,0.279108910891,2819.0
584,poverty,2447,101,101,101,0.193564356436,0.119504950495,1.95207920792,2.01606583072,0.567210451489,0.362699085713,0.477702191988,0.291390728477,0.375244122966,0.289425981873,0.211287128713,2134.0
584,pregnancy,1747,101,101,101,0.228613861386,0.287623762376,1.29237623762,1.55764411028,0.722291355217,0.352976274308,0.509803921569,0.280701754386,0.472892396096,0.317624093698,0.11702970297,1182.0
584,psychology_mentalhealth,7569,101,101,101,0.371683168317,0.177524752475,1.36237623762,1.99505479818,0.698581942959,0.284168283784,0.600170502984,0.248663101604,0.516369960093,0.181014150943,0.206633663366,2087.0
584,publicrelations,2642,101,101,101,0.291584158416,0.264653465347,1.74643564356,1.73910719059,0.631543427651,0.366168721706,0.712209302326,0.260309278351,0.519490726187,0.338893967093,0.0539603960396,545.0
584,publishing_literature,22559,101,101,101,0.518316831683,0.392277227723,1.47929292929,2.17555555556,0.78116007484,0.334903508213,0.540612124779,0.226840855107,0.602302279798,0.243840163411,0.293267326733,2962.0
584,python,2962,101,101,101,0.350396039604,3.5398019802,1.59455445545,1.63595135024,0.694416615742,0.66005498058,0.483857442348,0.616430903156,0.500856505925,0.581706924861,0.444653465347,4491.0
584,racing,7508,101,101,101,0.307128712871,0.930792079208,1.72198019802,1.94059405941,0.690086324013,0.527824052794,0.406802721088,0.304936305732,0.450020228659,0.344725674447,0.440099009901,4445.0
584,radio,42945,101,101,101,0.0537623762376,0.220594059406,2.93422557767,0.337373737374,0.440499381488,0.272116402116,0.516759776536,0.433962264151,0.394822006472,0.67229254571,0.0821782178218,830.0
584,rapper,4565,101,101,101,0.369801980198,0.0542574257426,1.55772277228,1.95854847963,0.658827179095,0.15348177927,0.437091188919,0.165094339623,0.428118090922,0.104497354497,0.157623762376,1592.0
584,realestate,14435,101,101,101,0.489108910891,0.42099009901,1.46363636364,1.45474581252,0.708452712767,0.360506400699,0.771244173539,0.359801488834,0.623754476664,0.512299940723,0.079603960396,804.0
584,realitytv,1618,101,101,101,0.116633663366,0.161782178218,2.45772277228,1.85714285714,0.491551830883,0.28494556506,0.320627802691,0.259868421053,0.295544327056,0.25124910778,0.0571287128713,577.0
584,recipes_cooking,11231,101,101,101,0.342673267327,0.30297029703,1.59237623762,2.16512345679,0.622454905214,0.305846628285,0.618045815802,0.323232323232,0.480940536434,0.347480106101,0.0444554455446,449.0
584,religion,10708,101,101,101,0.323168316832,0.125841584158,1.5400990099,2.12755362615,0.68493370404,0.292002264297,0.447450110865,0.215846994536,0.449323012563,0.182931424265,0.387425742574,3913.0
584,reporter,7501,101,101,101,0.150198019802,0.133465346535,1.74475247525,1.83896561857,0.708498003464,0.367406678319,0.535425101215,0.315112540193,0.562798634812,0.324171382377,0.250297029703,2528.0
584,restaurant_dining,24293,101,101,101,0.123465346535,0.030198019802,1.87920792079,1.14192982456,0.51106206989,0.187254741169,0.504221954162,0.106060606061,0.228822174031,0.0358361774744,0.0166336633663,168.0
584,romance,2348,101,101,101,0.427920792079,3.40356435644,1.56128712871,1.6703960396,0.688891529233,0.566739664014,0.551328068916,0.486460807601,0.512730076301,0.487301330165,0.660495049505,6671.0
584,ruby,6055,101,101,101,0.371386138614,2.40831683168,1.58373737374,1.62515151515,0.709831365232,0.638821632238,0.467527386541,0.541187739464,0.487028691913,0.5230568064,0.390891089109,3948.0
